id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Budidaya_Rumput_Laut,Tahun,Volume_Produksi_Kg,Nilai_Produksi_Rp
288.,72.,SULAWESI TENGAH,TOLI TOLI,RUMPUT LAUT SPINOSUM,2020.,92080.,92080000.
289.,74.,SULAWESI TENGGARA,BOMBANA,RUMPUT LAUT COTTONII,2020.,5274172.,31620490000.
290.,74.,SULAWESI TENGGARA,BOMBANA,RUMPUT LAUT SPINOSUM,2020.,8549828.,18839846000.
291.,74.,SULAWESI TENGGARA,BUTON,RUMPUT LAUT GRACILARIA,2020.,3097228.,8077121000.
292.,74.,SULAWESI TENGGARA,BUTON,RUMPUT LAUT SPINOSUM,2020.,14800.,14800000.
293.,74.,SULAWESI TENGGARA,BUTON SELATAN,RUMPUT LAUT COTTONII,2020.,1918108.,5754324000.
294.,74.,SULAWESI TENGGARA,BUTON TENGAH,RUMPUT LAUT COTTONII,2020.,10676943.,32030829000.
295.,74.,SULAWESI TENGGARA,BUTON TENGAH,RUMPUT LAUT SPINOSUM,2020.,9476886.,11372263200.
296.,74.,SULAWESI TENGGARA,BUTON UTARA,RUMPUT LAUT COTTONII,2020.,27181980.,67954950000.
297.,74.,SULAWESI TENGGARA,KOLAKA,RUMPUT LAUT COTTONII,2020.,27302000.,88117205000.
298.,74.,SULAWESI TENGGARA,KOLAKA UTARA,RUMPUT LAUT COTTONII,2020.,11543400.,42075200000.
299.,74.,SULAWESI TENGGARA,KONAWE KEPULAUAN,RUMPUT LAUT SPINOSUM,2020.,78350.,391750000.
300.,74.,SULAWESI TENGGARA,KONAWE SELATAN,RUMPUT LAUT COTTONII,2020.,33550000.,145652000000.
301.,74.,SULAWESI TENGGARA,KOTA BAU BAU,RUMPUT LAUT SPINOSUM,2020.,18089921.,54269763000.
302.,74.,SULAWESI TENGGARA,MUNA,RUMPUT LAUT COTTONII,2020.,89331719.,484958268200.
303.,74.,SULAWESI TENGGARA,MUNA,RUMPUT LAUT SPINOSUM,2020.,256926.,615026000.
304.,74.,SULAWESI TENGGARA,MUNA BARAT,RUMPUT LAUT SPINOSUM,2020.,1379433.,6554565000.
305.,74.,SULAWESI TENGGARA,WAKATOBI,RUMPUT LAUT COTTONII,2020.,6150720.,11993504250.
306.,74.,SULAWESI TENGGARA,WAKATOBI,RUMPUT LAUT SPINOSUM,2020.,18452159.,14392204200.
307.,71.,SULAWESI UTARA,KEPULAUAN SANGIHE,RUMPUT LAUT GRACILARIA,2020.,3400.,23800000.
308.,71.,SULAWESI UTARA,MINAHASA,RUMPUT LAUT SPINOSUM,2020.,1534056.,6136224000.
309.,71.,SULAWESI UTARA,MINAHASA SELATAN,RUMPUT LAUT SPINOSUM,2020.,21923.,109615000.
310.,71.,SULAWESI UTARA,MINAHASA TENGGARA,RUMPUT LAUT SPINOSUM,2020.,48150.,192600000.
311.,71.,SULAWESI UTARA,MINAHASA UTARA,RUMPUT LAUT COTTONII,2020.,23704583.,79484503000.
312.,71.,SULAWESI UTARA,MINAHASA UTARA,RUMPUT LAUT SPINOSUM,2020.,221711958.,499982939000.
313.,51.,BALI,KLUNGKUNG,RUMPUT LAUT COTTONII,2021.,11367947.,22735894000.
314.,51.,BALI,KOTA DENPASAR,RUMPUT LAUT COTTONII,2021.,289000.,404600000.
315.,36.,BANTEN,SERANG,RUMPUT LAUT COTTONII,2021.,13799997.,68999985000.
316.,31.,DKI JAKARTA,ADM. KEP. SERIBU,RUMPUT LAUT SPINOSUM,2021.,126385.,821502500.
317.,75.,GORONTALO,GORONTALO UTARA,RUMPUT LAUT COTTONII,2021.,3240000.,16200000000.
318.,75.,GORONTALO,GORONTALO UTARA,RUMPUT LAUT GRACILARIA,2021.,6017556.,42122892000.
319.,75.,GORONTALO,PAHUWATO,RUMPUT LAUT SPINOSUM,2021.,7700.,38500000.
320.,32.,JAWA BARAT,INDRAMAYU,RUMPUT LAUT GRACILARIA,2021.,39921160.,99905184000.
321.,32.,JAWA BARAT,KARAWANG,RUMPUT LAUT GRACILARIA,2021.,757540.,5681550000.
